"FriendlyName","GUID"
"Skype for Business PSTN Domestic and International Calling","System.Object[]"
"Skype for Business PSTN Domestic Calling","System.Object[]"
"Skype for Business PSTN Domestic Calling (120 Minutes)","System.Object[]"
"Skype for Business PSTN Usage Calling Plan","System.Object[]"
"Teams Phone Mobile","System.Object[]"
"Teams Phone with Calling Plan","System.Object[]"
"Teams Premium (for Departments)","System.Object[]"
"Teams Rooms Premium","System.Object[]"
"TELSTRA Calling for O365","System.Object[]"
"Universal Print","System.Object[]"
"Visio Plan 1","System.Object[]"
"Visio Plan 2","System.Object[]"
"Visio Plan 2 for Faculty","System.Object[]"
"Visio Plan 2 for GCC","System.Object[]"
"Visio Plan 2_USGOV_GCCHIGH","System.Object[]"
"Viva Goals User-led","System.Object[]"
"Viva Learning","System.Object[]"
"Viva Topics","System.Object[]"
"Windows 10/11 Enterprise A3 for faculty","System.Object[]"
"Windows 10/11 Enterprise A3 for students","System.Object[]"
"Windows 10/11 Enterprise A5 for faculty","System.Object[]"
"Windows 10/11 Enterprise E3","System.Object[]"
"Windows 10/11 Enterprise E3 VDA","System.Object[]"
"Windows 10/11 Enterprise E5","System.Object[]"
"Windows 10/11 Enterprise E5 (Original)","System.Object[]"
"Windows 10/11 Enterprise E5 Commercial (GCC Compatible)","System.Object[]"
"Windows 365 Business 1 vCPU 2 GB 64 GB","System.Object[]"
"Windows 365 Business 16 vCPU, 64 GB, 1 TB","System.Object[]"
"Windows 365 Business 16 vCPU, 64 GB, 512 GB","System.Object[]"
"Windows 365 Business 2 vCPU 4 GB 128 GB","System.Object[]"
"Windows 365 Business 2 vCPU 4 GB 256 GB","System.Object[]"
"Windows 365 Business 2 vCPU 4 GB 64 GB","System.Object[]"
"Windows 365 Business 2 vCPU 8 GB 128 GB","System.Object[]"
"Windows 365 Business 2 vCPU 8 GB 256 GB","System.Object[]"
"Windows 365 Business 4 vCPU 16 GB 128 GB","System.Object[]"
"Windows 365 Business 4 vCPU 16 GB 128 GB (with Windows Hybrid Benefit)","System.Object[]"
"Windows 365 Business 4 vCPU 16 GB 256 GB","System.Object[]"
"Windows 365 Business 4 vCPU 16 GB 512 GB","System.Object[]"
"Windows 365 Business 8 vCPU 32 GB 128 GB","System.Object[]"
"Windows 365 Business 8 vCPU 32 GB 256 GB","System.Object[]"
"Windows 365 Business 8 vCPU 32 GB 512 GB","System.Object[]"
"Windows 365 Enterprise 1 vCPU 2 GB 64 GB","System.Object[]"
"Windows 365 Enterprise 2 vCPU 4 GB 128 GB","System.Object[]"
"Windows 365 Enterprise 2 vCPU 4 GB 128 GB (Preview)","System.Object[]"
"Windows 365 Enterprise 2 vCPU 4 GB 256 GB","System.Object[]"
"Windows 365 Enterprise 2 vCPU 4 GB 64 GB","System.Object[]"
"Windows 365 Enterprise 2 vCPU 8 GB 128 GB","System.Object[]"
"Windows 365 Enterprise 2 vCPU 8 GB 128 GB (Preview)","System.Object[]"
"Windows 365 Enterprise 2 vCPU 8 GB 256 GB","System.Object[]"
"Windows 365 Enterprise 4 vCPU 16 GB 128 GB","System.Object[]"
"Windows 365 Enterprise 4 vCPU 16 GB 256 GB","System.Object[]"
"Windows 365 Enterprise 4 vCPU 16 GB 256 GB (Preview)","System.Object[]"
"Windows 365 Enterprise 4 vCPU 16 GB 512 GB","System.Object[]"
"Windows 365 Enterprise 8 vCPU 32 GB 128 GB","System.Object[]"
"Windows 365 Enterprise 8 vCPU 32 GB 256 GB","System.Object[]"
"Windows 365 Enterprise 8 vCPU 32 GB 512 GB","System.Object[]"
"Windows 365 Shared Use 2 vCPU 4 GB 128 GB","System.Object[]"
"Windows 365 Shared Use 2 vCPU 4 GB 256 GB","System.Object[]"
"Windows 365 Shared Use 2 vCPU 4 GB 64 GB","System.Object[]"
"Windows 365 Shared Use 2 vCPU 8 GB 128 GB","System.Object[]"
"Windows 365 Shared Use 2 vCPU 8 GB 256 GB","System.Object[]"
"Windows 365 Shared Use 4 vCPU 16 GB 128 GB","System.Object[]"
"Windows 365 Shared Use 4 vCPU 16 GB 256 GB","System.Object[]"
"Windows 365 Shared Use 4 vCPU 16 GB 512 GB","System.Object[]"
"Windows 365 Shared Use 8 vCPU 32 GB 128 GB","System.Object[]"
"Windows 365 Shared Use 8 vCPU 32 GB 256 GB","System.Object[]"
"Windows 365 Shared Use 8 vCPU 32 GB 512 GB","System.Object[]"
"Windows Store for Business","System.Object[]"
"Windows Store for Business EDU Faculty","System.Object[]"
"Workload Identities Premium","System.Object[]"
