"FriendlyName","GUID"
"Dynamics 365 Remote Assist HoloLens","System.Object[]"
"Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 Sales Premium","System.Object[]"
"Dynamics 365 Sales Premium Viral Trial","System.Object[]"
"Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 Sales, Field Service and Customer Service Partner Sandbox","System.Object[]"
"Dynamics 365 Talent: Attract","System.Object[]"
"Dynamics 365 Talent: Onboard","System.Object[]"
"Dynamics 365 Team Members","System.Object[]"
"Dynamics 365 UNF OPS Plan ENT Edition","System.Object[]"
"Enterprise Mobility + Security A3 for Faculty","System.Object[]"
"Enterprise Mobility + Security E3","System.Object[]"
"Enterprise Mobility + Security E5","System.Object[]"
"Enterprise Mobility + Security E5_USGOV_GCCHIGH","System.Object[]"
"Enterprise Mobility + Security G3 GCC","System.Object[]"
"Enterprise Mobility + Security G5 GCC","System.Object[]"
"Exchange Enterprise CAL Services (EOP DLP)","System.Object[]"
"Exchange Online (Plan 1)","System.Object[]"
"Exchange Online (Plan 1) for Alumni with Yammer","System.Object[]"
"Exchange Online (Plan 1) for GCC","System.Object[]"
"Exchange Online (Plan 1) for Students","System.Object[]"
"Exchange Online (Plan 2)","System.Object[]"
"Exchange Online (Plan 2) for Faculty","System.Object[]"
"Exchange Online Archiving for Exchange Online","System.Object[]"
"Exchange Online Archiving for Exchange Server","System.Object[]"
"Exchange Online Essentials","System.Object[]"
"Exchange Online Essentials (ExO P1 Based)","System.Object[]"
"Exchange Online Kiosk","System.Object[]"
"Exchange Online POP","System.Object[]"
"Exchange Online Protection","System.Object[]"
"Intune","System.Object[]"
"Intune for Education","System.Object[]"
"Microsoft 365 A1","System.Object[]"
"Microsoft 365 A3 - Unattended License for students use benefit","System.Object[]"
"Microsoft 365 A3 for Faculty","System.Object[]"
"Microsoft 365 A3 for Students","System.Object[]"
"Microsoft 365 A3 for students use benefit","System.Object[]"
"Microsoft 365 A3 Suite features for faculty","System.Object[]"
"Microsoft 365 A5 for Faculty","System.Object[]"
"Microsoft 365 A5 for Students","System.Object[]"
"Microsoft 365 A5 for students use benefit","System.Object[]"
"Microsoft 365 A5 Suite features for faculty","System.Object[]"
"Microsoft 365 A5 without Audio Conferencing for students use benefit","System.Object[]"
"Microsoft 365 Apps for Business","System.Object[]"
"Microsoft 365 Apps for Enterprise","System.Object[]"
"Microsoft 365 Apps for enterprise (device)","System.Object[]"
"Microsoft 365 Apps for Faculty","System.Object[]"
"Microsoft 365 Apps for Students","System.Object[]"
"Microsoft 365 Audio Conferencing","System.Object[]"
"Microsoft 365 Audio Conferencing - GCCHigh Tenant (AR)_USGOV_GCCHIGH","System.Object[]"
"Microsoft 365 Audio Conferencing for faculty","System.Object[]"
"Microsoft 365 Audio Conferencing for GCC","System.Object[]"
"Microsoft 365 Audio Conferencing Pay-Per-Minute - EA","System.Object[]"
"Microsoft 365 Audio Conferencing_USGOV_GCCHIGH","System.Object[]"
"Microsoft 365 Business Basic","System.Object[]"
"Microsoft 365 Business Basic (no Teams)","System.Object[]"
